session_id,date,month,month_num,year,year_month,day_of_week,traffic_source,landing_page,device,location,pages_viewed,session_duration_s,bounced,converted,new_user
SES-0000025,2022-06-01,June,6,2022,2022-06,Wednesday,Referral,/contact,Desktop,Chicago,1,11.0,True,False,True
SES-0000026,2022-06-01,June,6,2022,2022-06,Wednesday,Paid Search,/blog,Mobile,Los Angeles,7,441.0,False,False,True
SES-0000027,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/faq,Desktop,Austin,3,370.0,False,False,False
SES-0000028,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/services,Desktop,San Diego,6,222.0,False,False,False
SES-0000029,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/home,Mobile,Philadelphia,7,189.0,False,False,True
SES-0000030,2022-06-01,June,6,2022,2022-06,Wednesday,Social Media,/home,Mobile,Houston,3,167.0,False,False,False
SES-0000031,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/home,Desktop,Houston,4,187.0,False,False,False
SES-0000032,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/about,Desktop,Phoenix,1,44.0,True,False,True
SES-0000033,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/about,Desktop,San Diego,8,397.0,False,False,True
SES-0000034,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/services,Desktop,New York,6,240.0,False,False,False
SES-0000035,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/home,Mobile,Los Angeles,6,69.0,False,False,True
SES-0000036,2022-06-01,June,6,2022,2022-06,Wednesday,Email Campaign,/services,Desktop,Dallas,2,207.0,False,False,False
SES-0000037,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/home,Mobile,Phoenix,1,43.0,True,False,False
SES-0000038,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/services,Mobile,Houston,2,274.0,False,False,False
SES-0000039,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/testimonials,Tablet,New York,1,45.0,True,False,True
SES-0000040,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/services,Mobile,San Diego,2,426.0,False,False,True
SES-0000041,2022-06-01,June,6,2022,2022-06,Wednesday,Paid Search,/book-appointment,Mobile,San Diego,7,362.0,False,False,False
SES-0000042,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/testimonials,Desktop,Dallas,2,279.0,False,False,False
SES-0000043,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/home,Mobile,Austin,5,365.0,False,False,True
SES-0000044,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/home,Mobile,Philadelphia,1,38.0,True,False,False
SES-0000045,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/services,Mobile,New York,1,38.0,True,False,True
SES-0000046,2022-06-01,June,6,2022,2022-06,Wednesday,Email Campaign,/home,Tablet,Los Angeles,2,238.0,False,False,False
SES-0000047,2022-06-02,June,6,2022,2022-06,Thursday,Social Media,/book-appointment,Desktop,Houston,7,388.0,False,False,False
SES-0000048,2022-06-02,June,6,2022,2022-06,Thursday,Referral,/book-appointment,Mobile,San Antonio,3,459.0,False,False,True
SES-0000049,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/home,Desktop,San Diego,8,266.0,False,False,True
SES-0000050,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/home,Tablet,Dallas,2,316.0,False,False,True
SES-0000051,2022-06-02,June,6,2022,2022-06,Thursday,Email Campaign,/services,Mobile,San Diego,1,16.0,True,False,False
SES-0000052,2022-06-02,June,6,2022,2022-06,Thursday,Social Media,/testimonials,Desktop,Phoenix,8,279.0,False,True,True
SES-0000053,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/home,Desktop,Dallas,6,336.0,False,False,False
SES-0000054,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/blog,Desktop,San Antonio,8,355.0,False,False,True
SES-0000055,2022-06-02,June,6,2022,2022-06,Thursday,Direct,/home,Desktop,Phoenix,1,22.0,True,False,True
SES-0000056,2022-06-02,June,6,2022,2022-06,Thursday,Direct,/contact,Mobile,Los Angeles,2,114.0,False,False,True
SES-0000057,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/services,Desktop,San Diego,1,15.0,True,False,True
SES-0000058,2022-06-02,June,6,2022,2022-06,Thursday,Direct,/home,Desktop,San Antonio,3,384.0,False,False,True
SES-0000059,2022-06-02,June,6,2022,2022-06,Thursday,Social Media,/team,Desktop,San Antonio,1,17.0,True,False,True
SES-0000060,2022-06-02,June,6,2022,2022-06,Thursday,Direct,/about,Mobile,Chicago,6,445.0,False,False,True
SES-0000061,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/book-appointment,Mobile,Phoenix,2,60.0,False,False,True
SES-0000062,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/about,Mobile,San Antonio,2,232.0,False,False,True
SES-0000063,2022-06-02,June,6,2022,2022-06,Thursday,Paid Search,/contact,Desktop,Los Angeles,3,190.0,False,False,False
SES-0000064,2022-06-02,June,6,2022,2022-06,Thursday,Paid Search,/home,Mobile,Los Angeles,1,25.0,True,False,False
SES-0000065,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/services,Mobile,Phoenix,1,21.0,True,False,True
SES-0000066,2022-06-02,June,6,2022,2022-06,Thursday,Referral,/testimonials,Mobile,Los Angeles,1,28.0,True,False,False
SES-0000067,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/services,Mobile,Phoenix,7,299.0,False,False,True
SES-0000068,2022-06-02,June,6,2022,2022-06,Thursday,Social Media,/about,Desktop,Dallas,1,24.0,True,False,True
SES-0000069,2022-06-02,June,6,2022,2022-06,Thursday,Referral,/testimonials,Desktop,San Diego,4,95.0,False,False,False
SES-0000070,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/services,Desktop,Dallas,1,24.0,True,False,False
SES-0000071,2022-06-02,June,6,2022,2022-06,Thursday,Paid Search,/services,Mobile,Austin,8,277.0,False,True,True
SES-0000072,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/about,Mobile,Philadelphia,2,386.0,False,False,True
SES-0000073,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/about,Desktop,New York,8,291.0,False,False,True
SES-0000074,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/services,Desktop,Los Angeles,1,30.0,True,False,False
SES-0000075,2022-06-02,June,6,2022,2022-06,Thursday,Paid Search,/services,Mobile,Houston,1,36.0,True,False,True
SES-0000076,2022-06-02,June,6,2022,2022-06,Thursday,Paid Search,/home,Tablet,New York,1,15.0,True,False,False
SES-0000077,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/blog,Desktop,Dallas,8,336.0,False,False,False
SES-0000078,2022-06-02,June,6,2022,2022-06,Thursday,Direct,/services,Desktop,Los Angeles,3,260.0,False,True,False
SES-0000079,2022-06-02,June,6,2022,2022-06,Thursday,Paid Search,/services,Tablet,San Antonio,1,44.0,True,False,False
SES-0000080,2022-06-02,June,6,2022,2022-06,Thursday,Direct,/home,Desktop,Phoenix,6,108.0,False,False,True
SES-0000081,2022-06-02,June,6,2022,2022-06,Thursday,Direct,/services,Desktop,Los Angeles,8,251.0,False,False,True
SES-0000082,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/home,Desktop,Houston,2,288.0,False,False,True
SES-0000083,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/book-appointment,Mobile,New York,1,28.0,True,False,False
SES-0000084,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/home,Desktop,Los Angeles,7,150.0,False,False,False
SES-0000085,2022-06-02,June,6,2022,2022-06,Thursday,Paid Search,/home,Desktop,San Antonio,2,238.0,False,False,True
SES-0000086,2022-06-02,June,6,2022,2022-06,Thursday,Referral,/home,Tablet,New York,6,157.0,False,False,False
SES-0000087,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/blog,Mobile,New York,1,23.0,True,False,True
SES-0000088,2022-06-02,June,6,2022,2022-06,Thursday,Social Media,/home,Desktop,Dallas,2,83.0,False,False,True
SES-0000089,2022-06-02,June,6,2022,2022-06,Thursday,Direct,/home,Mobile,Dallas,3,104.0,False,False,True
SES-0000090,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/faq,Mobile,Dallas,1,11.0,True,False,True
SES-0000091,2022-06-02,June,6,2022,2022-06,Thursday,Social Media,/home,Desktop,Chicago,1,40.0,True,False,False
SES-0000092,2022-06-02,June,6,2022,2022-06,Thursday,Email Campaign,/about,Desktop,San Diego,5,267.0,False,False,True
SES-0000093,2022-06-02,June,6,2022,2022-06,Thursday,Paid Search,/services,Mobile,Houston,7,113.0,False,False,True
SES-0000094,2022-06-02,June,6,2022,2022-06,Thursday,Direct,/services,Mobile,Phoenix,7,70.0,False,False,True
SES-0000095,2022-06-02,June,6,2022,2022-06,Thursday,Organic Search,/home,Desktop,Chicago,6,97.0,False,False,True
SES-0000096,2022-06-02,June,6,2022,2022-06,Thursday,Social Media,/home,Mobile,Dallas,3,383.0,False,False,False
SES-0000097,2022-06-03,June,6,2022,2022-06,Friday,Direct,/services,Mobile,San Antonio,8,122.0,False,False,True
SES-0000098,2022-06-03,June,6,2022,2022-06,Friday,Referral,/services,Mobile,Phoenix,7,260.0,False,False,False
SES-0000099,2022-06-03,June,6,2022,2022-06,Friday,Direct,/home,Mobile,San Antonio,2,144.0,False,False,False
SES-0000100,2022-06-03,June,6,2022,2022-06,Friday,Social Media,/blog,Mobile,Dallas,3,120.0,False,False,True
SES-0000101,2022-06-03,June,6,2022,2022-06,Friday,Direct,/home,Desktop,Los Angeles,4,363.0,False,False,True
SES-0000102,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/contact,Mobile,Philadelphia,3,315.0,False,False,False
SES-0000103,2022-06-03,June,6,2022,2022-06,Friday,Direct,/book-appointment,Mobile,Phoenix,1,25.0,True,False,False
SES-0000104,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/services,Desktop,Los Angeles,2,452.0,False,True,True
SES-0000105,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/book-appointment,Mobile,Dallas,6,324.0,False,False,True
SES-0000106,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/contact,Desktop,Los Angeles,4,120.0,False,False,True
SES-0000107,2022-06-03,June,6,2022,2022-06,Friday,Social Media,/home,Desktop,San Antonio,5,154.0,False,False,False
SES-0000108,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/book-appointment,Desktop,Austin,1,32.0,True,False,True
SES-0000109,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/contact,Desktop,Chicago,3,364.0,False,False,False
SES-0000110,2022-06-03,June,6,2022,2022-06,Friday,Social Media,/book-appointment,Desktop,New York,4,169.0,False,False,True
SES-0000111,2022-06-03,June,6,2022,2022-06,Friday,Paid Search,/services,Mobile,Austin,7,131.0,False,False,True
SES-0000112,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/home,Desktop,Houston,7,443.0,False,False,True
SES-0000113,2022-06-03,June,6,2022,2022-06,Friday,Paid Search,/services,Mobile,Los Angeles,5,182.0,False,False,False
SES-0000114,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/services,Mobile,Philadelphia,1,17.0,True,False,True
SES-0000115,2022-06-03,June,6,2022,2022-06,Friday,Email Campaign,/services,Mobile,San Diego,2,352.0,False,True,True
SES-0000116,2022-06-03,June,6,2022,2022-06,Friday,Social Media,/contact,Mobile,Chicago,1,37.0,True,False,True
SES-0000117,2022-06-03,June,6,2022,2022-06,Friday,Social Media,/home,Mobile,Phoenix,1,16.0,True,False,True
SES-0000118,2022-06-03,June,6,2022,2022-06,Friday,Referral,/services,Mobile,Austin,1,14.0,True,False,True
SES-0000119,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/book-appointment,Mobile,New York,6,114.0,False,False,True
SES-0000120,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/home,Mobile,New York,4,246.0,False,False,False
SES-0000121,2022-06-03,June,6,2022,2022-06,Friday,Social Media,/book-appointment,Mobile,Chicago,1,44.0,True,False,True
SES-0000122,2022-06-03,June,6,2022,2022-06,Friday,Email Campaign,/team,Mobile,Phoenix,7,434.0,False,False,True
SES-0000123,2022-06-03,June,6,2022,2022-06,Friday,Direct,/services,Desktop,New York,2,441.0,False,False,True
SES-0000124,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/home,Mobile,Philadelphia,4,334.0,False,False,True
SES-0000125,2022-06-03,June,6,2022,2022-06,Friday,Paid Search,/blog,Desktop,Los Angeles,1,26.0,True,False,True
SES-0000126,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/about,Desktop,New York,2,224.0,False,False,True
SES-0000127,2022-06-03,June,6,2022,2022-06,Friday,Direct,/services,Desktop,Phoenix,1,14.0,True,False,True
SES-0000128,2022-06-03,June,6,2022,2022-06,Friday,Email Campaign,/blog,Desktop,San Diego,1,10.0,True,False,True
SES-0000129,2022-06-03,June,6,2022,2022-06,Friday,Organic Search,/book-appointment,Desktop,Phoenix,1,41.0,True,False,True
SES-0000130,2022-06-03,June,6,2022,2022-06,Friday,Direct,/home,Mobile,Austin,1,23.0,True,False,False
SES-0000131,2022-06-03,June,6,2022,2022-06,Friday,Paid Search,/testimonials,Mobile,Austin,2,392.0,False,False,True
SES-0000132,2022-06-03,June,6,2022,2022-06,Friday,Paid Search,/book-appointment,Desktop,New York,1,42.0,True,False,True
SES-0000133,2022-06-03,June,6,2022,2022-06,Friday,Social Media,/home,Mobile,Chicago,1,31.0,True,False,False
SES-0000134,2022-06-03,June,6,2022,2022-06,Friday,Social Media,/book-appointment,Mobile,Phoenix,1,21.0,True,False,True
SES-0000135,2022-06-03,June,6,2022,2022-06,Friday,Social Media,/about,Mobile,New York,1,39.0,True,False,True
SES-0000136,2022-06-03,June,6,2022,2022-06,Friday,Direct,/blog,Mobile,Phoenix,1,34.0,True,False,True
SES-0000137,2022-06-04,June,6,2022,2022-06,Saturday,Paid Search,/services,Tablet,Houston,1,18.0,True,False,True
SES-0000138,2022-06-04,June,6,2022,2022-06,Saturday,Organic Search,/services,Mobile,Philadelphia,7,203.0,False,False,True
SES-0000139,2022-06-04,June,6,2022,2022-06,Saturday,Direct,/home,Mobile,Houston,7,471.0,False,False,True
SES-0000140,2022-06-04,June,6,2022,2022-06,Saturday,Organic Search,/services,Tablet,Chicago,5,126.0,False,True,True
SES-0000141,2022-06-04,June,6,2022,2022-06,Saturday,Organic Search,/contact,Desktop,Austin,1,12.0,True,False,True
SES-0000142,2022-06-04,June,6,2022,2022-06,Saturday,Direct,/faq,Desktop,Houston,3,330.0,False,False,False
SES-0000143,2022-06-04,June,6,2022,2022-06,Saturday,Direct,/book-appointment,Desktop,Chicago,1,19.0,True,False,True
SES-0000144,2022-06-04,June,6,2022,2022-06,Saturday,Paid Search,/services,Desktop,San Diego,1,38.0,True,False,True
SES-0000145,2022-06-04,June,6,2022,2022-06,Saturday,Email Campaign,/services,Mobile,Los Angeles,4,334.0,False,False,False
SES-0000146,2022-06-04,June,6,2022,2022-06,Saturday,Referral,/services,Mobile,Houston,1,16.0,True,False,True
SES-0000147,2022-06-04,June,6,2022,2022-06,Saturday,Direct,/home,Mobile,Los Angeles,2,79.0,False,False,True
SES-0000148,2022-06-04,June,6,2022,2022-06,Saturday,Direct,/contact,Tablet,Houston,1,39.0,True,False,False
SES-0000149,2022-06-04,June,6,2022,2022-06,Saturday,Organic Search,/home,Desktop,Houston,4,187.0,False,False,True
SES-0000150,2022-06-04,June,6,2022,2022-06,Saturday,Referral,/services,Desktop,Los Angeles,2,325.0,False,False,True
SES-0000151,2022-06-04,June,6,2022,2022-06,Saturday,Referral,/home,Desktop,Austin,4,202.0,False,False,True
SES-0000152,2022-06-04,June,6,2022,2022-06,Saturday,Organic Search,/book-appointment,Desktop,San Antonio,4,116.0,False,False,True
SES-0000153,2022-06-04,June,6,2022,2022-06,Saturday,Organic Search,/about,Mobile,Phoenix,3,254.0,False,False,False
SES-0000154,2022-06-04,June,6,2022,2022-06,Saturday,Direct,/contact,Mobile,Los Angeles,1,40.0,True,False,True
SES-0000155,2022-06-04,June,6,2022,2022-06,Saturday,Direct,/home,Tablet,San Antonio,4,184.0,False,False,False
SES-0000156,2022-06-04,June,6,2022,2022-06,Saturday,Direct,/team,Desktop,Houston,1,22.0,True,False,True
SES-0000157,2022-06-04,June,6,2022,2022-06,Saturday,Referral,/book-appointment,Desktop,Los Angeles,1,12.0,True,False,True
SES-0000158,2022-06-04,June,6,2022,2022-06,Saturday,Direct,/book-appointment,Tablet,Dallas,1,30.0,True,False,False
SES-0000159,2022-06-04,June,6,2022,2022-06,Saturday,Direct,/about,Mobile,San Antonio,7,385.0,False,False,False
SES-0000160,2022-06-04,June,6,2022,2022-06,Saturday,Organic Search,/home,Desktop,San Diego,1,34.0,True,False,True
SES-0000161,2022-06-04,June,6,2022,2022-06,Saturday,Direct,/home,Desktop,Houston,1,16.0,True,False,False
SES-0000162,2022-06-04,June,6,2022,2022-06,Saturday,Organic Search,/home,Desktop,Austin,1,40.0,True,False,False
SES-0000163,2022-06-04,June,6,2022,2022-06,Saturday,Organic Search,/home,Desktop,New York,2,344.0,False,False,True
SES-0000164,2022-06-04,June,6,2022,2022-06,Saturday,Organic Search,/home,Mobile,Houston,1,40.0,True,False,True
SES-0000165,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/home,Desktop,New York,6,399.0,False,False,True
SES-0000166,2022-06-05,June,6,2022,2022-06,Sunday,Paid Search,/home,Mobile,Austin,1,34.0,True,False,True
SES-0000167,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/about,Mobile,San Antonio,1,22.0,True,False,True
SES-0000168,2022-06-05,June,6,2022,2022-06,Sunday,Direct,/home,Desktop,Houston,4,310.0,False,False,False
SES-0000169,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/book-appointment,Mobile,Philadelphia,8,258.0,False,False,True
SES-0000170,2022-06-05,June,6,2022,2022-06,Sunday,Email Campaign,/home,Desktop,Austin,8,413.0,False,False,True
SES-0000171,2022-06-05,June,6,2022,2022-06,Sunday,Social Media,/services,Tablet,Austin,1,21.0,True,False,False
SES-0000172,2022-06-05,June,6,2022,2022-06,Sunday,Email Campaign,/home,Desktop,Dallas,3,63.0,False,False,False
SES-0000173,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/services,Mobile,Philadelphia,1,28.0,True,False,True
SES-0000174,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/book-appointment,Mobile,Phoenix,8,318.0,False,False,True
SES-0000175,2022-06-05,June,6,2022,2022-06,Sunday,Direct,/about,Desktop,Phoenix,4,457.0,False,False,False
SES-0000176,2022-06-05,June,6,2022,2022-06,Sunday,Direct,/book-appointment,Desktop,San Diego,1,17.0,True,False,True
SES-0000177,2022-06-05,June,6,2022,2022-06,Sunday,Social Media,/about,Desktop,San Diego,7,206.0,False,False,False
SES-0000178,2022-06-05,June,6,2022,2022-06,Sunday,Direct,/services,Mobile,Chicago,1,35.0,True,False,False
SES-0000179,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/home,Desktop,Dallas,8,285.0,False,False,True
SES-0000180,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/book-appointment,Desktop,Houston,5,378.0,False,False,True
SES-0000181,2022-06-05,June,6,2022,2022-06,Sunday,Direct,/services,Mobile,San Diego,5,215.0,False,False,True
SES-0000182,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/home,Desktop,Chicago,3,258.0,False,False,True
SES-0000183,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/about,Desktop,Houston,8,383.0,False,False,True
SES-0000184,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/home,Mobile,Houston,5,76.0,False,False,True
SES-0000185,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/book-appointment,Mobile,Houston,2,72.0,False,False,True
SES-0000186,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/about,Desktop,San Diego,1,13.0,True,False,True
SES-0000187,2022-06-05,June,6,2022,2022-06,Sunday,Direct,/blog,Mobile,New York,4,247.0,False,False,False
SES-0000188,2022-06-05,June,6,2022,2022-06,Sunday,Direct,/home,Desktop,Phoenix,8,146.0,False,False,True
SES-0000189,2022-06-05,June,6,2022,2022-06,Sunday,Direct,/about,Desktop,Los Angeles,4,294.0,False,False,False
SES-0000190,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/faq,Desktop,Dallas,1,29.0,True,False,True
SES-0000191,2022-06-05,June,6,2022,2022-06,Sunday,Social Media,/team,Desktop,Phoenix,6,245.0,False,False,False
SES-0000192,2022-06-05,June,6,2022,2022-06,Sunday,Organic Search,/home,Tablet,Chicago,1,30.0,True,False,False
SES-0000193,2022-06-06,June,6,2022,2022-06,Monday,Direct,/services,Mobile,Dallas,8,97.0,False,False,True
SES-0000194,2022-06-06,June,6,2022,2022-06,Monday,Organic Search,/contact,Desktop,Austin,2,228.0,False,False,True
SES-0000195,2022-06-06,June,6,2022,2022-06,Monday,Direct,/contact,Desktop,San Antonio,1,20.0,True,False,False
SES-0000196,2022-06-06,June,6,2022,2022-06,Monday,Paid Search,/testimonials,Desktop,Dallas,1,14.0,True,False,False
SES-0000197,2022-06-06,June,6,2022,2022-06,Monday,Organic Search,/home,Desktop,Phoenix,6,143.0,False,False,True
SES-0000198,2022-06-06,June,6,2022,2022-06,Monday,Direct,/services,Mobile,Chicago,2,416.0,False,False,True
SES-0000199,2022-06-06,June,6,2022,2022-06,Monday,Referral,/services,Desktop,San Antonio,2,210.0,False,False,True
SES-0000200,2022-06-06,June,6,2022,2022-06,Monday,Organic Search,/about,Desktop,San Antonio,8,457.0,False,False,True
SES-0000201,2022-06-06,June,6,2022,2022-06,Monday,Direct,/home,Mobile,Austin,4,476.0,False,False,True
SES-0000202,2022-06-06,June,6,2022,2022-06,Monday,Organic Search,/contact,Tablet,Houston,3,459.0,False,False,True
SES-0000203,2022-06-06,June,6,2022,2022-06,Monday,Paid Search,/services,Desktop,Houston,1,25.0,True,False,False
SES-0000204,2022-06-06,June,6,2022,2022-06,Monday,Direct,/home,Desktop,Phoenix,8,372.0,False,False,False
SES-0000205,2022-06-06,June,6,2022,2022-06,Monday,Paid Search,/home,Desktop,San Diego,1,13.0,True,False,False
SES-0000206,2022-06-06,June,6,2022,2022-06,Monday,Organic Search,/home,Desktop,Austin,1,37.0,True,False,True
SES-0000207,2022-06-06,June,6,2022,2022-06,Monday,Direct,/home,Desktop,New York,1,18.0,True,False,True
SES-0000208,2022-06-06,June,6,2022,2022-06,Monday,Organic Search,/services,Mobile,Dallas,3,258.0,False,False,True
SES-0000209,2022-06-06,June,6,2022,2022-06,Monday,Direct,/home,Mobile,San Antonio,5,208.0,False,False,True
SES-0000210,2022-06-06,June,6,2022,2022-06,Monday,Paid Search,/services,Desktop,Austin,5,373.0,False,False,False
SES-0000211,2022-06-06,June,6,2022,2022-06,Monday,Organic Search,/home,Mobile,San Antonio,1,30.0,True,False,True
SES-0000212,2022-06-06,June,6,2022,2022-06,Monday,Paid Search,/book-appointment,Desktop,Chicago,1,12.0,True,False,False
SES-0000213,2022-06-06,June,6,2022,2022-06,Monday,Social Media,/contact,Desktop,San Diego,1,31.0,True,False,True
SES-0000214,2022-06-06,June,6,2022,2022-06,Monday,Social Media,/home,Mobile,Austin,1,19.0,True,False,True
SES-0000215,2022-06-06,June,6,2022,2022-06,Monday,Social Media,/services,Desktop,San Diego,4,360.0,False,False,False
SES-0000216,2022-06-06,June,6,2022,2022-06,Monday,Social Media,/home,Desktop,Los Angeles,1,38.0,True,False,True
SES-0000217,2022-06-06,June,6,2022,2022-06,Monday,Social Media,/home,Mobile,Philadelphia,1,19.0,True,False,True
SES-0000218,2022-06-06,June,6,2022,2022-06,Monday,Direct,/book-appointment,Desktop,Chicago,5,294.0,False,False,True
SES-0000219,2022-06-06,June,6,2022,2022-06,Monday,Direct,/home,Desktop,Houston,1,13.0,True,False,False
SES-0000220,2022-06-06,June,6,2022,2022-06,Monday,Organic Search,/home,Desktop,Houston,4,106.0,False,False,False
SES-0000221,2022-06-06,June,6,2022,2022-06,Monday,Social Media,/services,Mobile,Chicago,1,12.0,True,False,True
SES-0000222,2022-06-07,June,6,2022,2022-06,Tuesday,Organic Search,/book-appointment,Mobile,Dallas,1,22.0,True,False,True
SES-0000223,2022-06-07,June,6,2022,2022-06,Tuesday,Social Media,/blog,Mobile,Chicago,5,251.0,False,True,True
